created_at_utc,timestamp,appid,game_title,provider,model,status,folder_path,input_file,output_path,error,duration_sec,response_length
2026-07-24T14:06:10.073824+00:00,20260724_140610,4964110,Darkest Dungeon®: The Fire's Edge,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-24__appid_4964110__rank_1057_to_1023__up_34,data/spike_explainer/2026-07-24__appid_4964110__rank_1057_to_1023__up_34/llm_summary_input.md,data/spike_explainer/2026-07-24__appid_4964110__rank_1057_to_1023__up_34/llm_outputs/gemini_20260724_140610.md,,26.15,6936
2026-07-25T03:26:49.967086+00:00,20260725_032649,881940,Guns 'n Goblins,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-25__appid_881940__rank_1120_to_1070__up_50,data/spike_explainer/2026-07-25__appid_881940__rank_1120_to_1070__up_50/llm_summary_input.md,data/spike_explainer/2026-07-25__appid_881940__rank_1120_to_1070__up_50/llm_outputs/gemini_20260725_032649.md,,27.57,6721
2026-07-25T13:56:08.196632+00:00,20260725_135608,881940,Guns 'n Goblins,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-25__appid_881940__rank_1070_to_1020__up_50,data/spike_explainer/2026-07-25__appid_881940__rank_1070_to_1020__up_50/llm_summary_input.md,data/spike_explainer/2026-07-25__appid_881940__rank_1070_to_1020__up_50/llm_outputs/gemini_20260725_135608.md,,20.47,5277
2026-07-26T03:40:35.465953+00:00,20260726_034035,4080220,EA SPORTS FC™ 27,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-26__appid_4080220__rank_1182_to_1044__up_138,data/spike_explainer/2026-07-26__appid_4080220__rank_1182_to_1044__up_138/llm_summary_input.md,data/spike_explainer/2026-07-26__appid_4080220__rank_1182_to_1044__up_138/llm_outputs/gemini_20260726_034035.md,,19.36,5763
2026-07-26T13:49:05.732924+00:00,20260726_134905,881940,Guns 'n Goblins,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-26__appid_881940__rank_957_to_898__up_59,data/spike_explainer/2026-07-26__appid_881940__rank_957_to_898__up_59/llm_summary_input.md,data/spike_explainer/2026-07-26__appid_881940__rank_957_to_898__up_59/llm_outputs/gemini_20260726_134905.md,,16.55,6196
2026-07-27T03:48:54.118622+00:00,20260727_034854,881940,Guns 'n Goblins,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-27__appid_881940__rank_898_to_784__up_114,data/spike_explainer/2026-07-27__appid_881940__rank_898_to_784__up_114/llm_summary_input.md,data/spike_explainer/2026-07-27__appid_881940__rank_898_to_784__up_114/llm_outputs/gemini_20260727_034854.md,,14.82,4757
2026-07-27T14:58:11.937135+00:00,20260727_145811,881940,Guns 'n Goblins,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-27__appid_881940__rank_784_to_746__up_38,data/spike_explainer/2026-07-27__appid_881940__rank_784_to_746__up_38/llm_summary_input.md,data/spike_explainer/2026-07-27__appid_881940__rank_784_to_746__up_38/llm_outputs/gemini_20260727_145811.md,,17.7,5640
2026-07-28T03:03:56.094008+00:00,20260728_030356,4739040,DISCIPLINE SIMULATOR,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-28__appid_4739040__rank_1133_to_1005__up_128,data/spike_explainer/2026-07-28__appid_4739040__rank_1133_to_1005__up_128/llm_summary_input.md,data/spike_explainer/2026-07-28__appid_4739040__rank_1133_to_1005__up_128/llm_outputs/gemini_20260728_030356.md,,26.59,6559
2026-07-28T14:32:09.847406+00:00,20260728_143209,4739040,DISCIPLINE SIMULATOR,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-28__appid_4739040__rank_1005_to_922__up_83,data/spike_explainer/2026-07-28__appid_4739040__rank_1005_to_922__up_83/llm_summary_input.md,data/spike_explainer/2026-07-28__appid_4739040__rank_1005_to_922__up_83/llm_outputs/gemini_20260728_143209.md,,26.25,6779
2026-07-29T03:22:34.261913+00:00,20260729_032234,4739040,DISCIPLINE SIMULATOR,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-29__appid_4739040__rank_922_to_833__up_89,data/spike_explainer/2026-07-29__appid_4739040__rank_922_to_833__up_89/llm_summary_input.md,data/spike_explainer/2026-07-29__appid_4739040__rank_922_to_833__up_89/llm_outputs/gemini_20260729_032234.md,,28.96,8106
