appid,source_url,discount_text,review_summary,image_url,platforms,tags_raw
2411280,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
4260840,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
4328440,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2948730,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
311810,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
3031890,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2701030,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2017940,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
1967610,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
3219630,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2024600,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2295060,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2320980,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,"win,mac",
3023930,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
4171850,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,"win,linux",
1912410,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
306910,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2904040,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3729700,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2168390,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
4162040,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3055670,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3333850,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
1727760,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3934270,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
763310,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,"win,linux",
2239670,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2550530,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
1661330,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3238940,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2885380,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3183760,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2524850,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
2977260,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
939530,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3423280,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=10,,,,win,
3660710,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3371050,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1898920,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3677050,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
2947860,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1857810,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1637460,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3424730,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,"win,mac,linux",
2327720,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3942260,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3355360,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
2365790,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
4221910,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1510440,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,"win,mac",
3345210,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1853440,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
